07-04 22:38:26 做空 jm2509 入场价：849.5 07-04 22:38:47 平多仓 jm2509 卖出价：850.0  盈利:0.002390914524805738
07-04 22:38:47 做空 jm2509 入场价：850.0 07-04 22:39:08 平多仓 jm2509 卖出价：850.0  盈利:0.002988643156007173
07-04 22:39:08 做空 jm2509 入场价：850.0 07-04 22:39:29 平多仓 jm2509 卖出价：849.5  盈利:0.0035863717872086074
07-04 22:39:29 做空 jm2509 入场价：849.5 07-04 22:39:50 平多仓 jm2509 卖出价：849.5  盈利:0.0035863717872086074
07-04 22:39:50 做空 jm2509 入场价：849.5 07-07 09:03:05 做空 jm2509 入场价：839.5 07-07 09:49:21 平空仓 jm2509 卖出价：839.0  盈利:0.0005959475566150178
07-07 09:49:21 做多 jm2509 入场价：839.0 07-07 10:01:03 平多仓 jm2509 卖出价：838.5  盈利:0.0
07-07 10:01:03 做空 jm2509 入场价：838.5 07-07 10:10:26 平空仓 jm2509 卖出价：840.5  盈利:-0.0017889087656529517
07-07 10:10:26 做多 jm2509 入场价：840.5 07-07 10:32:27 平多仓 jm2509 卖出价：839.5  盈利:-0.001189767995240928
07-07 10:32:27 做空 jm2509 入场价：839.5 07-07 11:06:10 平空仓 jm2509 卖出价：838.5  盈利:0.0011918951132300357
07-07 11:06:10 做多 jm2509 入场价：838.5 07-07 11:19:38 平多仓 jm2509 卖出价：835.5  盈利:-0.0029832935560859188
07-07 11:19:38 做空 jm2509 入场价：835.5 07-07 13:30:34 平空仓 jm2509 卖出价：837.5  盈利:-0.0029940119760479044
07-07 13:30:34 做多 jm2509 入场价：837.5 07-07 13:40:33 平多仓 jm2509 卖出价：836.0  盈利:-0.001791044776119403
07-07 13:40:33 做空 jm2509 入场价：836.0 07-07 14:30:20 平空仓 jm2509 卖出价：833.5  盈利:0.0023937761819269898
07-07 14:30:20 做多 jm2509 入场价：833.5

07-07 21:03:01 做多 jm2509 入场价：836.0 07-07 21:20:03 平多仓 jm2509 卖出价：835.5  盈利:0.0036079374624173183
07-07 21:20:03 做空 jm2509 入场价：835.5 07-07 22:04:29 平空仓 jm2509 卖出价：836.0  盈利:-0.0011983223487118035
07-07 22:04:29 做多 jm2509 入场价：836.0 07-09 10:42:07 做空 jm2509 入场价：853.0 07-09 10:42:17 做空 jm2509 入场价：853.5 07-09 11:12:10 平空仓 jm2509 卖出价：853.0  盈利:0.0005861664712778429
07-09 11:12:10 做多 jm2509 入场价：853.0 07-10 21:37:02 做空 jm2509 入场价：875.5 07-10 21:42:05 平空仓 jm2509 卖出价：878.5  盈利:0.0022222222222222222
