07-04 13:15:53 做多 ao2509 入场价：3040.0 07-04 13:16:14 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:16:14 做多 ao2509 入场价：3040.0 07-04 13:16:34 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:16:34 做多 ao2509 入场价：3040.0 07-04 13:16:56 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:16:56 做多 ao2509 入场价：3040.0 07-04 13:17:16 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:17:16 做多 ao2509 入场价：3040.0 07-04 13:17:37 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:17:37 做多 ao2509 入场价：3040.0 07-04 13:17:57 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:17:57 做多 ao2509 入场价：3040.0 07-04 13:18:18 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:18:18 做多 ao2509 入场价：3040.0 07-04 13:18:38 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:18:38 做多 ao2509 入场价：3040.0 07-04 13:18:59 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:18:59 做多 ao2509 入场价：3040.0 07-04 13:19:20 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:19:20 做多 ao2509 入场价：3040.0 07-04 13:19:41 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:19:41 做多 ao2509 入场价：3040.0 07-04 13:20:01 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:20:01 做多 ao2509 入场价：3040.0 07-04 13:20:22 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:20:22 做多 ao2509 入场价：3040.0 07-04 13:20:42 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:20:42 做多 ao2509 入场价：3040.0 07-04 13:21:03 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:21:03 做多 ao2509 入场价：3040.0 07-04 13:21:23 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:21:23 做多 ao2509 入场价：3040.0 07-04 13:21:44 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:21:44 做多 ao2509 入场价：3040.0 07-04 13:22:05 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:22:05 做多 ao2509 入场价：3040.0 07-04 13:22:25 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:22:25 做多 ao2509 入场价：3040.0 07-04 13:22:46 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
